n.,data,estado,país,atualizado_em,confirmados,mortes,recuperados
2526,2020-02-26,,Brazil,2020-02-26 23:53:02,1.0,0.0,0.0
2632,2020-02-27,,Brazil,2020-02-26 23:53:02,1.0,0.0,0.0
2743,2020-02-28,,Brazil,2020-02-26 23:53:02,1.0,0.0,0.0
2853,2020-02-29,,Brazil,2020-02-29 21:03:05,2.0,0.0,0.0
2982,2020-03-01,,Brazil,2020-02-29 21:03:05,2.0,0.0,0.0
3113,2020-03-02,,Brazil,2020-02-29 21:03:05,2.0,0.0,0.0
3256,2020-03-03,,Brazil,2020-02-29 21:03:05,2.0,0.0,0.0
3407,2020-03-04,,Brazil,2020-03-04 20:33:02,4.0,0.0,0.0
3573,2020-03-05,,Brazil,2020-03-04 20:33:02,4.0,0.0,0.0
3736,2020-03-06,,Brazil,2020-03-06 20:33:03,13.0,0.0,0.0
3939,2020-03-07,,Brazil,2020-03-06 20:33:03,13.0,0.0,0.0
4161,2020-03-08,,Brazil,2020-03-08 17:23:07,20.0,0.0,0.0
4415,2020-03-09,,Brazil,2020-03-09 10:13:06,25.0,0.0,0.0
4684,2020-03-10,,Brazil,2020-03-10 16:53:13,31.0,0.0,0.0
4895,2020-03-11,,Brazil,2020-03-11 22:13:12,38.0,0.0,0.0
5106,2020-03-12,,Brazil,2020-03-12 01:33:03,52.0,0.0,0.0
5330,2020-03-13,,Brazil,2020-03-11 20:00:00,151.0,0.0,0.0
5538,2020-03-14,,Brazil,2020-03-13 22:21:58,151.0,0.0,0.0
5788,2020-03-15,,Brazil,2020-03-15 18:20:18,162.0,0.0,0.0
6047,2020-03-16,,Brazil,2020-03-16 02:33:08,200.0,0.0,1.0
6312,2020-03-17,,Brazil,2020-03-17 15:33:06,321.0,1.0,2.0
6589,2020-03-18,,Brazil,2020-03-18 19:14:29,372.0,3.0,2.0
6870,2020-03-19,,Brazil,2020-03-19 20:43:02,621.0,6.0,2.0
7160,2020-03-20,,Brazil,2020-03-20 20:13:16,793.0,11.0,2.0
7456,2020-03-21,,Brazil,2020-03-21 17:43:03,1021.0,15.0,2.0
7758,2020-03-22,,Brazil,2020-03-08 05:31:00,1546.0,25.0,2.0
8062,2020-03-23,,Brazil,2020-03-23 23:23:20,1924.0,34.0,2.0
8361,2020-03-24,,Brazil,2020-03-24 23:41:50,2247.0,46.0,2.0
8664,2020-03-25,,Brazil,2020-03-25 23:37:49,2554.0,59.0,2.0
8971,2020-03-26,,Brazil,2020-03-26 23:53:24,2985.0,77.0,6.0
9282,2020-03-27,,Brazil,2020-03-27 23:27:48,3417.0,92.0,6.0
9594,2020-03-28,,Brazil,2020-03-08 05:31:00,3904.0,111.0,6.0
9910,2020-03-29,,Brazil,2020-03-08 05:31:00,4256.0,136.0,6.0
10227,2020-03-30,,Brazil,2020-03-08 05:31:00,4579.0,159.0,120.0
10544,2020-03-31,,Brazil,2020-03-31 23:49:27,5717.0,201.0,127.0
10862,2020-04-01,,Brazil,2020-04-01 22:04:58,6836.0,240.0,127.0
11180,2020-04-02,,Brazil,2020-04-02 08:53:00,8044.0,324.0,127.0
